chr1	11874	14409	+	100287102	DDX11L1
chr1	14362	29370	-	653635	WASH7P
chr1	17369	17436	-	102466751	MIR6859-1
chr1	29926	31295	+	107985730	MIR1302-2HG
chr1	30366	30503	+	100302278	MIR1302-2
chr1	34611	36081	-	645520	FAM138A
chr1	52453	53396	+	79504	OR4G4P
chr1	63016	63885	+	403263	OR4G11P
chr1	69091	70008	+	79501	OR4F5
chr1	89006	267354	-	100996442	LOC100996442
chr1	126642	129225	-	107126284	SEPT14P18
chr1	131068	134836	+	100420257	CICP27
chr1	134773	140566	-	729737	LOC729737
chr1	157784	157887	-	106480049	RNU6-1100P
chr1	164689	164792	+	107403151	GTF2IP10
chr1	182388	184878	+	102725121	LOC102725121
chr1	184878	199860	-	102723897	LOC102723897
chr1	187891	187958	-	102465909	MIR6859-2
chr1	200442	203983	+	107985721	LOC107985721
chr1	258511	259036	-	728481	RPL23AP21
chr1	347969	348441	-	728517	RPL23AP24
chr1	350706	476822	-	112268260	LOC112268260
chr1	439764	440270	+	106479030	WBP1LP7
chr1	450740	451678	-	729759	OR4F29
chr1	484833	485210	-	106481733	SEPT14P13
chr1	487055	490819	+	100288667	CICP7
chr1	490756	495445	-	100132287	LOC100132287
chr1	586287	611297	-	105378947	LOC105378947
chr1	627380	629009	-	101928626	LOC101928626
chr1	629062	629440	+	100887749	MTND1P23
chr1	629640	630686	+	100652939	MTND2P28
chr1	631074	632616	+	107075141	MTCO1P12
chr1	632757	633438	+	107075310	MTCO2P12
chr1	633535	633741	+	106480795	MTATP8P1
chr1	633696	634376	+	106480796	MTATP6P1
chr1	634376	634922	+	107075270	MTCO3P12
chr1	674743	675246	+	106481797	WBP1LP6
chr1	683910	720115	-	81399	OR4F16
chr1	717621	720202	-	107105354	SEPT14P14
chr1	722046	725822	+	100132630	CICP3
chr1	725759	730351	-	100133331	LOC100133331
chr1	732159	744785	-	107984841	LOC107984841
chr1	735566	738953	-	107984847	LOC107984847
chr1	739962	740334	-	107984849	LOC107984849
chr1	758233	758336	-	106480091	RNU6-1199P
chr1	764865	778688	-	100288069	LOC100288069
chr1	778742	809798	+	105378580	LOC105378580
chr1	817371	819834	+	400728	FAM87B
chr1	826206	827522	-	79854	LINC00115
chr1	827591	859446	+	643837	LINC01128
chr1	860185	868202	+	107984850	LOC107984850
chr1	868071	876802	-	284593	FAM41C
chr1	873291	874514	+	388579	TUBB8P11
chr1	905115	914782	+	284600	LOC284600
chr1	916818	919692	-	100130417	LINC02593
chr1	921013	924937	-	107985728	LOC107985728
chr1	925731	944574	+	148398	SAMD11
chr1	944203	959256	-	26155	NOC2L
chr1	960103	965719	+	339451	KLHL17
chr1	965820	975865	+	84069	PLEKHN1
chr1	975198	982117	-	84808	PERM1
chr1	998962	1001052	-	57801	HES4
chr1	1008060	1008290	-	100270829	RPL39P12
chr1	1013497	1014540	+	9636	ISG15
chr1	1020102	1056119	+	375790	AGRN
chr1	1059734	1066453	+	100288175	LOC100288175
chr1	1065635	1071341	-	112267874	LOC112267874
